,year,Country name,Ladder score,upperwhisker,lowerwhisker,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,Regional indicator
0,2020,Finland,7.808700085,7.869766235,7.747633934,1.285189509,1.499525905,0.961271405,0.66231674,0.159670442,0.477857262,2.762835026,Western Europe
1,2020,Denmark,7.645599842,7.711244583,7.579955101,1.326948524,1.503449202,0.979332566,0.665039897,0.242793396,0.495260328,2.432740688,Western Europe
2,2020,Switzerland,7.559899807,7.628527641,7.491271973,1.39077425,1.472403407,1.040533185,0.62895447,0.269055754,0.407945901,2.35026741,Western Europe
3,2020,Iceland,7.504499912,7.621346951,7.387652874,1.326501608,1.547567487,1.000843406,0.661980748,0.362330228,0.144540772,2.460688114,Western Europe
4,2020,Norway,7.487999916,7.55628109,7.419718742,1.42420733,1.495172501,1.008071899,0.670200884,0.287985086,0.434100568,2.168266296,Western Europe
5,2020,Netherlands,7.448900223,7.503372192,7.394428253,1.338946342,1.463645935,0.975675344,0.61362648,0.336317569,0.368569762,2.352117062,Western Europe
6,2020,Sweden,7.353499889,7.424519062,7.282480717,1.322235227,1.433347702,0.986470461,0.650297701,0.272827893,0.442066371,2.246299267,Western Europe
7,2020,New Zealand,7.299600124,7.376952648,7.222247601,1.242317915,1.48721838,1.008138299,0.646789908,0.325726211,0.461268276,2.128108025,North America and ANZ
8,2020,Austria,7.294199944,7.359595776,7.228804111,1.317285538,1.437444925,1.000933528,0.603368878,0.255509764,0.281256139,2.398446083,Western Europe
9,2020,Luxembourg,7.237500191,7.297969818,7.177030563,1.536676049,1.387528419,0.986442685,0.610137045,0.19595392,0.367041469,2.153700352,Western Europe
10,2020,Canada,7.23210001,7.311294556,7.152905464,1.301647663,1.435391903,1.022501945,0.644028127,0.28152892,0.351701856,2.195269108,North America and ANZ
11,2020,Australia,7.222799778,7.30480814,7.140791416,1.310396433,1.477146268,1.022607684,0.621877193,0.324973613,0.335996419,2.129804134,North America and ANZ
12,2020,United Kingdom,7.164500237,7.237337589,7.091662884,1.273061037,1.457844973,0.97570008,0.525168657,0.373433441,0.322601646,2.236721992,Western Europe
13,2020,Israel,7.128600121,7.211929798,7.045270443,1.216463685,1.403256774,1.008052945,0.420699477,0.266861796,0.09989845,2.713358402,Middle East and North Africa
14,2020,Costa Rica,7.121399879,7.209239483,7.033560276,0.981107712,1.374853611,0.939635336,0.645017743,0.131266311,0.096362092,2.953135014,Latin America and Caribbean
15,2020,Ireland,7.093699932,7.171832085,7.01556778,1.446886778,1.470596433,0.975670695,0.587779939,0.295426995,0.373433262,1.943878174,Western Europe
16,2020,Germany,7.075799942,7.145595074,7.00600481,1.314184546,1.368543744,0.972114801,0.564274132,0.252037704,0.309362292,2.295249462,Western Europe
17,2020,United States,6.939599991,7.032339573,6.846860409,1.37398684,1.404786706,0.831618011,0.534608245,0.298143059,0.152284741,2.344124794,North America and ANZ
18,2020,Czech Republic,6.910900116,6.994966984,6.826833248,1.212322354,1.40528667,0.89456445,0.505744576,0.046325929,0.049803223,2.796808243,Central and Eastern Europe
19,2020,Belgium,6.863500118,6.930866241,6.796133995,1.295842767,1.398677588,0.964901149,0.499805421,0.146966159,0.208724052,2.348626614,Western Europe
20,2020,United Arab Emirates,6.790800095,6.870568752,6.711031437,1.431086421,1.251170993,0.787814438,0.652936101,0.28065598,0.220213518,2.166965961,Middle East and North Africa
21,2020,Malta,6.772799969,6.856997967,6.688601971,1.252513289,1.442956924,0.972042024,0.633239031,0.341180831,0.178864077,1.952012062,Western Europe
22,2020,France,6.663799763,6.737450123,6.590149403,1.268129349,1.458839178,1.029714227,0.514050901,0.112607703,0.227303237,2.053198338,Western Europe
23,2020,Mexico,6.465000153,6.559319973,6.370680332,1.024387479,1.226333499,0.831601024,0.553892553,0.083094485,0.083133668,2.662540197,Latin America and Caribbean
24,2020,Taiwan Province of China,6.45539999,6.532113552,6.378686428,1.327470541,1.357760668,0.878437996,0.449404389,0.150598705,0.131516352,2.160238743,East Asia
25,2020,Uruguay,6.440100193,6.529121399,6.351078987,1.071000457,1.425081134,0.856928885,0.59426707,0.132143691,0.193425074,2.167276382,Latin America and Caribbean
26,2020,Saudi Arabia,6.406499863,6.517305851,6.295693874,1.334328532,1.309950113,0.759818137,0.548477471,0.087440684,0.163322315,2.203118801,Middle East and North Africa
27,2020,Spain,6.400899887,6.483808517,6.317991257,1.230535269,1.421099186,1.051343083,0.425983816,0.16530548,0.109579779,1.997088432,Western Europe
28,2020,Guatemala,6.398900032,6.5133605,6.284439564,0.753815711,1.174267054,0.705952585,0.613146722,0.170611665,0.0983603,2.882723093,Latin America and Caribbean
29,2020,Italy,6.38740015,6.47224474,6.302555561,1.236396074,1.347296,1.022504926,0.321305573,0.170266211,0.040145598,2.249505997,Western Europe
30,2020,Singapore,6.377099991,6.442287445,6.311912537,1.519580126,1.39545691,1.137814283,0.635317206,0.218770906,0.533162236,0.937031746,Southeast Asia
31,2020,Brazil,6.375599861,6.455549717,6.295650005,0.952679873,1.363464117,0.766119063,0.483292729,0.131674588,0.106518604,2.571860313,Latin America and Caribbean
32,2020,Slovenia,6.363399982,6.449328899,6.277471066,1.208652496,1.464677691,0.932548046,0.646700144,0.145701498,0.076516323,1.888586521,Central and Eastern Europe
33,2020,El Salvador,6.34829998,6.462466717,6.234133244,0.748940408,1.149397612,0.752730012,0.524043918,0.1189363,0.117030352,2.937191725,Latin America and Caribbean
34,2020,Kosovo,6.325200081,6.427544117,6.222856045,0.840481341,1.183962822,0.672709167,0.557280421,0.325286865,0.008559024,2.736902714,Central and Eastern Europe
35,2020,Panama,6.304800034,6.421860695,6.187739372,1.097667813,1.376149297,0.878546536,0.57984978,0.097207308,0.054230526,2.221176147,Latin America and Caribbean
36,2020,Slovakia,6.280600071,6.35683918,6.204360962,1.194837689,1.424331188,0.853465259,0.423542529,0.116729774,0.011291441,2.256422043,Central and Eastern Europe
37,2020,Uzbekistan,6.257599831,6.36388588,6.151313782,0.696652949,1.434020042,0.716703713,0.693270326,0.363311023,0.280260265,2.073346615,Commonwealth of Independent States
38,2020,Chile,6.228499889,6.318118572,6.138881207,1.096992493,1.323286891,0.889260828,0.417482227,0.155579001,0.06284935,2.283012867,Latin America and Caribbean
39,2020,Bahrain,6.227300167,6.387789249,6.066811085,1.296692252,1.31532371,0.838836372,0.610399902,0.287453711,0.126697257,1.751917362,Middle East and North Africa
40,2020,Lithuania,6.215499878,6.302118301,6.128881454,1.193559647,1.432865739,0.795421183,0.42046079,0.053691041,0.081350274,2.238146067,Central and Eastern Europe
41,2020,Trinidad and Tobago,6.191899776,6.416218758,5.967580795,1.167641521,1.407326221,0.658828557,0.55293113,0.199358255,0.015078396,2.190695763,Latin America and Caribbean
42,2020,Poland,6.186299801,6.255880356,6.116719246,1.16922915,1.310399771,0.868038476,0.557903528,0.063374244,0.160541251,2.056797981,Central and Eastern Europe
43,2020,Colombia,6.163400173,6.274102688,6.052697659,0.93220371,1.33445096,0.810020149,0.526890039,0.092374094,0.04584837,2.421656609,Latin America and Caribbean
44,2020,Cyprus,6.15899992,6.258187771,6.059812069,1.21279943,1.149170756,1.026124597,0.459385872,0.227932334,0.051207144,2.032334805,Western Europe
45,2020,Nicaragua,6.13710022,6.262318611,6.011881828,0.620033145,1.27081275,0.803093255,0.560117304,0.212871477,0.174084574,2.496081114,Latin America and Caribbean
46,2020,Romania,6.123700142,6.216668129,6.030732155,1.120401621,1.1944381,0.79229486,0.534852326,0.068181619,0.000829569,2.412749767,Central and Eastern Europe
47,2020,Kuwait,6.102099895,6.206563473,5.997636318,1.424833655,1.244779825,0.776468933,0.570261419,0.132751092,0.112814933,1.840167999,Middle East and North Africa
48,2020,Mauritius,6.101299763,6.213463783,5.989135742,1.07366395,1.395666838,0.763389409,0.590838134,0.186894551,0.084088229,2.006720543,Sub-Saharan Africa
49,2020,Kazakhstan,6.057899952,6.1426301,5.973169804,1.122594237,1.453267694,0.698788941,0.497432142,0.153713793,0.110463686,2.021602631,Commonwealth of Independent States
50,2020,Estonia,6.021800041,6.092330933,5.95126915,1.192441225,1.453232527,0.842615008,0.576664805,0.125136748,0.201766819,1.629928112,Central and Eastern Europe
51,2020,Philippines,6.006000042,6.103722572,5.908277512,0.775120676,1.245381713,0.602189481,0.621915162,0.129260212,0.130385727,2.501741886,Southeast Asia
52,2020,Hungary,6.000400066,6.077767372,5.923032761,1.164307117,1.423009396,0.806793869,0.386401802,0.070491239,0.027548173,2.121845722,Central and Eastern Europe
53,2020,Thailand,5.998799801,6.082288742,5.91531086,1.007029295,1.347519517,0.793855846,0.609449804,0.376709014,0.031837862,1.832384109,Southeast Asia
54,2020,Argentina,5.974699974,6.079445839,5.869954109,1.028465629,1.372543693,0.849773705,0.520840347,0.070100471,0.060415059,2.072540998,Latin America and Caribbean
55,2020,Honduras,5.953199863,6.082033634,5.824366093,0.598763585,1.186664104,0.791989982,0.568148077,0.256528199,0.086807102,2.464295387,Latin America and Caribbean
56,2020,Latvia,5.949999809,6.018282413,5.881717205,1.14139545,1.414398789,0.777902424,0.329198807,0.075407945,0.090391524,2.121283054,Central and Eastern Europe
57,2020,Ecuador,5.925199986,6.028846264,5.821553707,0.853383601,1.221027613,0.838837743,0.555234551,0.115006477,0.086753383,2.254933834,Latin America and Caribbean
58,2020,Portugal,5.910900116,6.015089989,5.806710243,1.168800831,1.339530349,0.979315281,0.589895189,0.053036947,0.027733466,1.752558708,Western Europe
59,2020,Jamaica,5.889800072,6.126157284,5.65344286,0.779058397,1.408289194,0.788434088,0.553124607,0.116268493,0.030147785,2.214436531,Latin America and Caribbean
60,2020,South Korea,5.872399807,5.958806515,5.785993099,1.245300651,1.133560538,1.022542596,0.25935635,0.170303866,0.094596282,1.946757078,East Asia
61,2020,Japan,5.870800018,5.951927662,5.789672375,1.26672411,1.332338691,1.072881341,0.495465875,0.03571178,0.181439638,1.486200333,East Asia
62,2020,Peru,5.796800137,5.916970253,5.67663002,0.91854918,1.208405972,0.824444175,0.513210058,0.091611817,0.02703266,2.213499546,Latin America and Caribbean
63,2020,Serbia,5.77820015,5.877596378,5.678803921,0.988181829,1.327448964,0.828403294,0.395428419,0.15028289,0.059447147,2.029040098,Central and Eastern Europe
64,2020,Bolivia,5.747499943,5.846765041,5.648234844,0.730976343,1.142350554,0.662445664,0.5744645,0.138375074,0.072942637,2.425928593,Latin America and Caribbean
65,2020,Pakistan,5.69329977,5.78780365,5.598795891,0.616799474,0.872979581,0.469933242,0.405421734,0.228705063,0.122592121,2.976876736,South Asia
66,2020,Paraguay,5.692100048,5.793937683,5.590262413,0.897990823,1.36819756,0.735869646,0.586510062,0.204299241,0.065077379,1.83412528,Latin America and Caribbean
67,2020,Dominican Republic,5.689199924,5.826069355,5.552330494,0.983191848,1.328888893,0.741901696,0.5628739,0.112196781,0.115945682,1.844246864,Latin America and Caribbean
68,2020,Bosnia and Herzegovina,5.674099922,5.765016556,5.583183289,0.91839546,1.203986526,0.813928187,0.305365741,0.264005244,0.001172487,2.16724205,Central and Eastern Europe
